year,A,B,C,D,E,F,G,H
2000-01-01,9733,13515,11238,1555,2527,8190,26562,28423
2001-01-01,10801.0,14152.0,12184.0,1796.0,2670.0,8311.0,23493.0,30021.0
2002-01-01,11452.0,14508.0,11931.0,2113.0,2894.0,8708.0,22081.0,31193.0
2003-01-01,12513.0,15288.0,11946.0,2184.0,3436.0,9119.0,26188.0,36319.0
2004-01-01,13482.0,16902.0,12254.0,2611.0,4514.0,10115.0,30693.0,47166.0
2005-01-01,15299.0,18531.0,14409.0,2741.0,6594.0,10737.0,35188.0,55098.0
2006-01-01,17005.0,21379.0,15367.0,2261.0,7174.0,11738.0,36751.0,51614.0
2007-01-01,19687.0,24178.0,17495.0,2515.0,7925.0,13012.0,35047.0,49160.0
2008-01-01,20689.0,24485.0,18022.0,2381.0,8158.0,13252.0,32962.0,46876.0
2009-01-01,21461.0,23968.0,17886.0,2415.0,8713.0,13243.0,30710.0,40903.0
2010-01-01,22223.0,24575.0,19045.0,2114.0,8310.0,13957.0,32734.0,42769.0
2011-01-01,23640.0,26929.0,20582.0,1929.0,8242.0,14247.0,35679.0,42784.0
2012-01-01,25272.0,28220.0,21264.0,2016.0,8621.0,14644.0,38357.0,43451.0
2013-01-01,27439.0,30937.0,23618.0,2437.0,9432.0,16181.0,41882.0,45875.0
2014-01-01,29546.0,32816.0,24464.0,2255.0,9252.0,15537.0,42405.0,47445.0
2015-01-01,32697.0,32290.0,23782.0,2185.0,9632.0,16120.0,43168.0,46979.0
2016-01-01,32496.0,31839.0,23933.0,2399.0,9292.0,15125.0,42648.0,42985.0
2017-01-01,33842.0,31370.0,24326.0,2397.0,9087.0,14281.0,40686.0,40818.0
2018-01-01,35150.0,31334.0,24689.0,2384.0,9120.0,14174.0,43082.0,42443.0
2019-01-01,36649.0,32489.0,25157.0,2384.0,9546.0,14307.0,45165.0,45751.0
2020-01-01,40180.0,32030.0,25913.0,2322.0,10102.0,13166.0,49684.0,45318.0
2021-01-01,40561.0,33573.0,27415.0,2245.0,9360.0,12106.0,56364.0,48718.0
2022-01-01,38779.0,32376.0,27287.0,2117.0,8095.0,11160.0,58426.0,52146.0
